,ac,dc_norm,dc
Sanyo_HIP_HO97_2002_E_,1176.784448244406,1248.5280704828515,218616.0166134768
Sanyo_HIP_J54BA2_2004_E_,1193.545078857192,1265.5479833232425,227570.8383611855
Schott_Solar_ASE_100_ATF_17_100__1999_E_,1140.6964997633775,1238.9132099222409,123593.98182184272
Schott_Solar_ASE_100_ATF_17_85__1999_E_,1128.3958595598476,1236.7541336131246,105965.09416797251
Schott_Solar_ASE_100_ATF_17_92__1999_E_,1134.2657703651303,1237.8463674206175,113634.29652921272
Schott_Solar_ASE_100_ATF_34_100__1999_E_,1139.8911291590332,1238.9132099222409,123593.98182184272
Schott_Solar_ASE_100_ATF_34_85__1999_E_,1170.3580344782074,1283.176777528251,107786.84931237307
Schott_Solar_ASE_100_ATF_34_92__1999_E_,1133.3785001833974,1237.8463674206175,113634.29652921272
Schott_Solar_ASE_250_DGF_50_250__2007_E_,1188.0884216647762,1249.764766934395,313890.91886324267
Schott_Solar_ASE_270_DGF_50_260__2007_E_,1188.478375989479,1249.5009225639983,322508.6831229936
Schott_Solar_ASE_270_DGF_50_270__2007_E_,1189.9154104113666,1249.9286656474164,337543.2361580849
Schott_Solar_ASE_300_DGF_17_265__1999_E_,1192.5949113283853,1253.911058991604,332838.15149873134
Schott_Solar_ASE_300_DGF_17_285__1999_E_,1194.8013934467458,1254.8155738327384,358375.32788663014
Schott_Solar_ASE_300_DGF_17_300__1999_E_,1196.4088131062442,1255.6990534450097,375805.6127150224
Schott_Solar_ASE_300_DGF_50__1995_,1196.1914690521255,1254.8053158561813,364505.4850547294
Schott_Solar_ASE_300_DGF_50_265__1999_E_,1192.7580960057708,1253.2734380539284,332117.46108429105
Schott_Solar_ASE_300_DGF_50_280__2007_E_,1191.2418618413137,1250.2835526047068,353480.1659924027
Schott_Solar_ASE_300_DGF_50_285__1999_E_,1194.912676698613,1254.0409764938704,354642.7881524665
Schott_Solar_ASE_300_DGF_50_290__2007_E_,1192.14631108247,1250.6313559899952,363408.45942357276
Schott_Solar_ASE_300_DGF_50_300__1999_E_,1196.8349265583875,1254.7934651604803,377567.3536667885
Schott_Solar_ASE_300_DGF_50_300__2007_E_,1192.7907935639507,1250.7499809916085,373398.89932523476
Schott_Solar_ASE_300_DGF_50_310__2007_E_,1193.299952121793,1250.8662845646188,389907.5295616373
Schott_Solar_ASE_300_DGF_50_320__2007_E_,1193.0264958609985,1250.9803341924155,400213.62851483765
Schott_Solar_ASE_50_ALF_17__1997_,1072.4761399221215,1236.0853378068189,59558.6706571473
Schott_Solar_ASE_50_ATF_17_45__1999_E_,1065.8393880181072,1237.846367420618,55764.978852298824
Schott_Solar_ASE_50_ATF_17_50__1999_E_,1079.3884372029504,1238.9132099222409,61796.99091092136
Schott_Solar_SAPC_165__2001_,1151.744438685334,1226.2977644521643,198145.18051720306
Schott_Solar_SAPC_165_2002_E_,1153.6277554870785,1227.4085504563052,202573.96198440954
Schott_Solar_SAPC_170_2007_E_,1167.2748707872506,1240.309441406565,211497.56594864745
Schott_Solar_SAPC_175_2007_E_,1174.1408699192618,1246.3773869425022,218402.70951393468
Sharp_ND_070ERU_LU_2003_E_,1114.7965951110737,1238.359258875316,86758.9543331011
Sharp_ND_123U1_2003_E_,1167.274973561927,1254.2031052148927,154457.6208134245
Sharp_ND_160E1_2004_E_,1178.50713831742,1254.015137750953,200712.64688786655
